Name,verified,location,created_at,description,followers_count,following_count,tweet_count
21Cenzo,False,,2020-11-25T14:37:34.000Z,,6,163,317
TeamTrump,True,USA,2016-05-09T14:15:10.000Z,"The official Twitter account for the Trump Campaign. Together, we will MAKE AMERICA GREAT AGAIN! 🇺🇸",2437823,132,30634
RoyaMassah,False,"Toronto, Canada",2012-03-26T02:28:10.000Z,عشق چيست جز روياى يگانگى دو روح❤️,52,73,195
GOsBC,False,,2013-02-06T23:46:21.000Z,,12,35,104
MitchOrdSqn,False,Plymouth.  ,2018-08-04T14:08:32.000Z,Learn from those difficult times and look forward good times...,125,275,4246
EdwardDuong2,False,,2019-05-25T08:13:30.000Z,Keep moving forward..,3,57,42
JosephDarrellW1,False,,2020-08-22T04:09:33.000Z,"I am an Author of a book, 
The last shall be the first and The first shall be the last.",2,38,34
southrnfarmgirl,False,Down South USA,2009-05-17T18:38:10.000Z,,524,942,1733
CarrieShockley5,False,,2020-11-06T00:32:51.000Z,,50,510,1574
realyourhedge,False,,2009-11-21T02:22:59.000Z,,224,1790,15799
Lolopalotza,False,,2012-12-25T19:08:54.000Z,Hopeful for 🇱🇷 to survive the madness!,359,683,35794
AliciaOConnell8,False,,2020-09-04T21:29:28.000Z,"Saved by Grace, Mom of 5, Wannabe Apologist, Spanish Speaker ✝️🇺🇸",57,204,311
JustMyStyle921,False,"United States, Tokyo, Seoul ",2020-08-18T20:26:08.000Z,"정 아 정 🖤 Welcome To Number Six!! 🖤 트위터, 민주당, 및 가짜 뉴스 미디어. 난 그들을 증오. 🖤 No DMs!! 🖤 @astradyne121 🖤 Parler: JustMyStyle101",626,498,2844
LouannFayter,False,"Albuquerque, NN",2012-05-03T00:25:04.000Z,,30,198,80
FloridaRepNY,False,Frank's Head,2020-10-27T12:16:51.000Z,If you think I look fake you should see Frank's polls. Frank may be a Lib but I'm 100% MAGA. Pronoun: It (not to be confused with Cousin Itt from Addams family),117,63,2628
Henryhooddavis,False,Saint Louis Missouri ,2017-01-28T13:38:36.000Z,"PRESIDENT and Founder of the Conservative URBAN Project INC.
SPIRITUAL WARRIOR!",81522,1300,14979
mrwntsome,False,"loganville, ga",2009-02-17T15:26:19.000Z,,88,311,5833
abc9861238,False,,2020-05-14T11:53:59.000Z,Trump's teardrop川普的泪滴，是“华盛顿百万游行”人民最高荣耀的洗礼。（真的，真的。请大家不要关注此号，你会被屏蔽的，不想天天屏蔽然后再解除屏蔽。谢谢🙏合作。祝你有愉快的一天）,1235,85,66039
jmmugarte,False,,2017-12-09T15:33:27.000Z,,159,96,14202
Chas_06,False,USA 🇺🇸,2018-09-12T02:07:34.000Z,"Married to my Better 1/2 👸40yrs Father of 2 Amazing Daughters, GDF of 7. Conservative, Politically Incorrect #MAGA #1A #2A Every ATrump2020 #WWG1WGA 🇺🇸 🚫DMs",1639,2751,11047
Megachirella,False,,2020-08-27T13:33:55.000Z,"The #digitalwar of 2020, the war of words. FL division",43,162,1089
Ally1J,False,,2010-05-25T19:36:17.000Z,"A chelmsford based florist, for funeral and everyday events floristry. very reasonable prices. steel sculptures and trainee photographer.",137,607,4765
Nigel_Farage,True,,2009-01-15T10:37:07.000Z,Leader of @BrexitParty_UK.,1680874,492,16320
NeilGodwin3,False,,2019-09-19T16:06:35.000Z,,261,532,8807
greenarmy62,False,"East, England",2012-05-03T22:51:01.000Z,,29,55,1868
comsen2,False,,2014-07-10T11:42:10.000Z,,3,12,76
DanielleThearle,False,"England, Isle of Wight",2011-07-09T22:33:26.000Z,💝🤩🥳🎊🥰😎😘🤗😜,471,617,3297
Tinyt1m,False,"Northampton, England",2010-03-25T23:12:02.000Z,Overthinking is not paranoia. Its just analysis,23,101,764
MelchizadekR,False,"England, United Kingdom",2020-12-15T19:45:42.000Z,agent provocateur,214,480,1071
Richard60147914,False,,2020-12-09T18:54:22.000Z,,3,56,3
PeterRiebeek1,False,Amsterdam,2014-04-16T10:23:15.000Z,Lifetime in Music,636,1606,79908
littlejon1234,False,,2014-02-10T20:45:43.000Z,,121,371,1318
Ambdriver5150,False,,2018-04-11T23:10:56.000Z,,1,31,79
acko50,False,,2020-06-22T06:33:33.000Z,"Love sport, Leeds United, Leeds Rhinos and Horse Racing. Partial to the odd Italian larger.",430,647,1238
RealCandaceO,True,"New York, USA",2017-06-23T13:45:19.000Z,New York Times best-selling author. Founder of @BLEXIT organization. Black people don’t have to be Democrats— still.,2829287,22,4725
htiekkeith1234,False,,2012-04-24T15:45:34.000Z,happily married - Dad/former athlete/Engineer/Lawyer Been there. Done that. Philosophy - Follow your instincts. Never quit.,945,3244,25991
Reneeksanders,False,Northern California ,2012-01-21T03:47:41.000Z,"retired teacher, married, loves our Lord, supports animal rights, children’s rights, loves travel, family, sports, supports our President, VP, & country.",122,151,1107
GreveChad,False,,2015-12-04T19:23:57.000Z,"Eating at a Taco Bell, a chihuahua asked me, Do you like classical music?  And I answered, Yo quiero Pachelbel.  No DMs please.",286,1619,16339
PopCatalin,False,Cluj-Napoca,2008-05-12T10:24:26.000Z,"Dad, Husband, Opinionated software developer with a zero tolerance for bullshit. Opinions are spot on. #AllLivesMatter tyvm! #CancelCancelCulture $TSLA",420,587,5332
tristantheblerd,False,Los Angeles,2009-03-12T17:08:57.000Z,"Lawyer, black nerd, and creative.",711,98,1376
georgemagazine2,False,,2015-11-17T16:39:08.000Z,Conservative Sisters 🇺🇲 One Is A Walk-Away 🏃🏻‍♀️ One Is A Walk-With 🚶🏻‍♀️ Both Now See The Light 💡 Patriots 🇺🇲🇺🇲 Stop The Steal 🛑 WWG1WGA 🇺🇲,166,521,1388
Ellebai8,False,"Ohio, USA",2017-05-18T00:03:40.000Z,"90's Kid. God🙏 Family👨‍👩‍👦‍👦Country🌎
#INTHATORDER",28,71,784
MB75Jax,False,"Fruit Cove, FL",2020-07-01T00:44:23.000Z,"Proud father and husband, lover of nature.",10,120,418
haycey5,False,Nederland,2020-03-21T20:01:41.000Z,"🇳🇱Wanneer we hier onze vrijheid kwijtraken, kunnen we nergens anders naartoe!  🇺🇸When we lose our freedom here, there’s no where else we can go! #SCOTUS 💪",213,466,6331
TomDorwart1,False,Eauxmaha,2013-04-02T01:22:15.000Z,lawyer. entrepreneur. francophone/phile. nebraskan.,132,820,896
Sando2002Ade,False,"London, England",2015-07-02T08:40:40.000Z,,16,25,1708
beez518,False,"Cheektowaga, NY",2015-03-06T05:56:04.000Z,,46,210,900
egoeimi7,False,,2014-08-20T03:06:48.000Z,,9,26,1047
joycers2865,False,Etats-Unis,2016-05-02T23:53:33.000Z,,22,161,680
KidIndigo93,False,717 HBG PA,2012-05-22T07:40:47.000Z,Music inquiries and booking Email: vanascoenterprises93@gmail.com Follow My IG: Whatchuknowabouterb,616,372,5513
mozart94,False,southern cal,2009-10-06T20:00:32.000Z,#NOTMYPRESIDENT #HENEEDSTOGO!,509,1865,3790
lulumesum,False,"Seattle, WA",2013-08-04T19:46:08.000Z,Not looking for followers. Only here to watch the shit show and pray for better for the USA 🇺🇸,50,172,1512
matty_323,False,Planet earth,2017-11-15T12:42:12.000Z,designing/building for human beings,49,310,9509
jipenalorca,False,,2011-01-10T16:38:44.000Z,,8,76,80
FlyOnTrumpsWall,False,"Wall, Oval Office, Wash. DC",2017-02-05T19:50:20.000Z,Just a fly on the Oval Office Wall. Looking forward to new ownership.,797,941,8129
IsQpen,False,Earth,2020-05-19T05:28:48.000Z,,3,13,547
richardursomd,False,"Bellaire, TX",2017-01-22T19:46:59.000Z,"MD that discovered and patented (NGF for corneal wounds,Oxervate) an FDA approved RX. Opinions mine, (@Richardursomd on Parler) #HCQWORKS, #PATRIOTDOC🇺🇸",51402,1131,10635
JacquelineS59,False,"Loop, Chicago",2011-11-13T19:19:12.000Z,Wondering why I keep getting self help books as gifts.,580,326,11315
ARDye71,False,,2014-08-18T21:20:23.000Z,"Christian Wife, Mother, Child of God, Prayer Warrior Ephesians 3:20",888,1077,8095
RatesZero,False,,2020-10-03T07:27:29.000Z,Collapsing interest rates are signaling the end of our irredeemable currency system. They are pulling down ALL yields & yield (ROI) is the bedrock of capitalism,763,101,1294
seekingthetroof,False,,2020-10-18T07:46:29.000Z,Looking for the truth. I've been awake since before 9/11,65,202,1090
Anthony83988771,False,,2018-12-20T19:40:05.000Z,,28,28,137
DanielO85320698,False,,2020-04-04T10:52:59.000Z,engineer,11,64,272
JUDEXJUDEXXX,False,,2010-06-28T03:33:35.000Z,I’m a Shadow of My Former Self AKA JUDEX: No Masks 🎭 Shut Out of main account for telling the truth about Mr G@TES 💀,889,382,3509
Baijoelinno,False,GPS Rerouting,2015-10-26T00:02:57.000Z,I question shit that doesn't make sense!,32,170,797
biggerick,False,Earth,2012-09-05T12:12:19.000Z,Enjoy the Journey | Business Developer | $XRP + $VET =🏆,592,1108,4978
Reids1611,False,United States,2020-06-24T14:11:55.000Z,#savedbygrace 🇺🇸 🇮🇱 #conservative 🇺🇸 self employed 🇺🇸luv 2 bake 🇺🇸 #2A 🇺🇸 Papa 🇺🇸 #KJV1611 🇺🇸 THANK YOU #veterans ! 🇺🇸 Luv #lebanese Food,87,594,1583
theMLBeat1,False,,2019-12-05T17:42:19.000Z,MLBeat follows the beat writers for all 30 MLB teams and other industry and fantasy baseball influencers,23,176,3169
brianlilley,True,Ottawa & Toronto,2009-03-12T00:58:25.000Z,"Political columnist for the Toronto Sun. I write about federal and Ontario politics. Sometimes other stuff.
I tweet about @NDFootball and movies.",81193,10513,29096
marko_shirt_guy,False,Elk Plain,2015-07-13T17:14:32.000Z,Retired Designer of T-Shirts & Signs. Contact me for Custom work: marko@digitalhotrod.com,311,645,3027
floridagurl345,False,,2020-09-21T02:18:30.000Z,"Florida girl, sand in my toes, wind in my hair.",196,441,5574
TheLindsayM,False,,2008-12-16T02:46:34.000Z,Wanted to be a mermaid but a marine biologist is close enough. Views own.,129,143,838
GAB91818928,False,,2020-05-02T06:45:36.000Z,,0,53,31
its_menieb,False,"Los Angeles, CA",2018-10-16T19:12:38.000Z,"I love call of duty! that’s it, that’s all you need to know.",11896,169,5188
jimhabib,False,,2011-04-02T00:55:47.000Z,global citizen interested in humanity and progress so in future times we will illuminate the universe as a noble specie.,14,71,2918
sixfiguremobile,False,,2016-07-01T01:11:19.000Z,"#JusticeforDH 👈💜
Autism Mom💗 Ex-VAXXER #truthslayer
#Patriot 🇺🇸 #Veteran
#CBG🌱#CBD✌FREQUENCY ⚡
💃💋💄👀💥Fashion & Beauty
💚🌱Wellness Advocate🌱💚",104,135,769
BracoBeth,False,"Southern California, USA",2010-03-18T17:00:18.000Z,"I believe sarcasm isn't an attitude, it's an art. If you’re a Republican I’m not saying I hate you, but I’d unplug your life support to charge my phone.",2767,2590,4117
DeniseShearin,False,USA,2008-12-08T17:32:52.000Z,"I believe everyone is human no matter race, sexual orientation, nationality, or faith.  Proceed accordingly.",3151,1229,35119
RepsForBiden,False,,2020-01-26T15:58:45.000Z,Republicans and Conservatives supporting Joe Biden for president. #RepublicansForBiden |Email: rfjbiden@gmail.com |IG: https://t.co/Y7gBrVwL7V,158754,2192,23451
Athletics89,False,"Florida, USA",2013-09-26T22:52:37.000Z,"30 Years In Airline Industry✈️. Miami @Marlins🐟⚾️, #Trump2020🇺🇸 #TrumpTrain🚂🚋🚋🚃🇺🇸🇺🇸 #VOTEGOP 🇺🇸#MAGA 🇺🇸 #KAG🇺🇸🇺🇸🇺🇸#StopTheSteal! NOT OVER!",5900,5572,216474
danny83444812,False,,2020-10-01T11:47:38.000Z,,7,40,65
edgarvinhtran,False,,2019-09-17T10:56:55.000Z,,29,77,195
TurntableKitty,False,"Kitty Witty City, CA, USA",2009-03-15T22:36:46.000Z,I iz a semi evil kittay..who hatez ratz dogz..speshully da stoopid one next door😾,595,398,3305
SexCounseling,False,California,2010-10-18T18:16:49.000Z,"Wife, Mom, Author, Sexuality Counselor, Proud Patriot *Views are my own 
Proudly retweeted by @realDonaldTrump  
https://t.co/XmzNIkt8Qa",110602,18041,68739
TwittterSucks16,False,,2020-11-13T22:53:23.000Z,I think Twitter and Facebook both suck ass,0,22,42
wdunlap,False,"Cardiff-by-the-Sea, California, USA",2008-10-03T22:36:05.000Z,"World #Traveler -100 countries Top25 #TravelBlogger Featured Speaker & Author sharing unique #travel tips, bargains & what's worth seeing; Econ Prof #FollowBack",241491,238178,51559
Labybug1964,False,,2017-05-07T13:39:11.000Z,,37,51,1093
JuDeVi64,False,"Castille et Léon, Espagne",2018-03-29T06:48:27.000Z,,53,250,1168
CataldoJosephR1,False,,2020-12-15T12:10:07.000Z,I’m not special I’m just a man doing the best I can but with Christ anything is possible!,2,45,76
scottie18975379,False,,2020-08-06T18:41:20.000Z,"just an average person i have morals, standards treat others as i would like to be treated myself. i check facts first before tweeting them unlike most",4,15,1696
SpunkyStrings,False,"Antwerpen, België",2012-11-26T22:42:37.000Z,🐛 Stavroula Krallis 🦋 Mother | Trainer | Founder | Disrespect = Block,1149,93,6325
blazytrailz,False,‘Murica,2011-10-23T14:17:53.000Z,🇺🇸TRUMP 2020🇺🇸 MAGA 🗣 🇺🇸 🇩🇴 🇮🇹 🇧🇷 Biden is a KKKLANSMAN eulogist 🤮,6247,147,5130
yellowr0se2913,False,Texas,2011-05-22T22:42:36.000Z,"Wife, Mother,
U.S. Navy (Ret),
Disabled Veteran,
Loyal member of Cowboy Nation, &
Protector of the Unprotected #MAGA
#WalkAwayFromDemocrats
#Trump2020🇺🇸",3618,4598,10624
ClarksvilleAnon,False,"Clarksville, TN",2018-05-17T03:30:46.000Z,LOVE TRUMPS HATE! MAGA! KAG! Organic Keto Guru! Vaccine Injury Whistleblower! #TheWarIsRealTheNewsIsFake,2773,5002,23660
SeanSeanbryson,False,Notting Hill - London,2014-01-09T17:52:31.000Z,"""White Woke""
I hate Political Correctness !
If you are not allowed to question, it means that a lie is being protected !
There  are NO exceptions to this !!!",721,840,7671
VOTERinUSA,False,,2009-04-19T04:20:27.000Z,,36,267,5553
just4fun1801,False,,2011-01-02T03:04:02.000Z,,291,524,1344
WLD01,False,,2009-06-20T15:25:04.000Z,"Husband 40yrs, father of 5, grandfather of 10, brother, men's mentor, businessman, health and wellness advocate, and sports fan.",10448,11033,119392
PuestoLoco,False,Florida Central West Coast,2010-06-18T21:27:39.000Z,Military Anchor Baby - Mom never saw the irony in calling me a Son-of-a-Bitch. ClusterTrump madness is killing my country.,40607,5421,423635
MistyCa91971213,False,,2018-09-01T21:23:16.000Z,This is not the first time I have been here. Conservative patriots don't last long on this site.. Gens alba conservanda est 🐱🇺🇸,219,691,1341
DebraBl54708148,False,Us nebraska,2020-05-12T12:11:39.000Z,50 yrs old...part of the silent majority that spoke for the first time to help save our democracy from fascism....I do not look at my dm's so don't be offended,1966,3188,2188
SuzanneKirkwo17,False,,2020-10-03T04:20:21.000Z,,11,5,3216
real_defender,False,United States,2009-06-20T15:39:05.000Z,Conservative / Proudly Retweeted by @realDonaldTrump / Hated by the Left,63921,3653,12318
MikeTaylorFord1,False,New Zealand,2020-08-21T04:27:54.000Z,Glorified PowerPoint architect shifting it up to HTML5.....Just use this for keeping up with the smart cyber peeps who post.,18,220,545
maryderrickart,False,Canada,2012-04-24T23:54:52.000Z,"Cdn artist I paint my feelings not places, political junkie, all opinions are my own. NO LISTS, Black Lives Matter, NO DMs, NO DMs unless they're for art   Thx",8210,8477,108681
Churchofdontbea,False,,2018-04-17T21:52:19.000Z,"Just, you know, don’t be a dick. It’s really not that complicated",25,92,4378
Leslieoo7,False,"Florida, USA",2014-03-18T19:47:54.000Z,"My tweetshake brings all the trolls to my yard. I could teach them, but I'd have to charge. #BLM #Biden2020 #RobMob",61459,33241,49223
JDawson_inVA,False,"Newport News, VA",2020-07-28T12:16:25.000Z,"Look @ how the US is handling the Coronavirus vs other industrialized countries, Western Europe, Taiwan, Japan and S. Korea
https://t.co/kueZFjQ2x9",119,200,9246
JoeSGerard,False,"Newport Beach, CA",2016-08-29T00:58:16.000Z,Father. Husband. Business Owner. Signmaker. Investor. Reader. Golfer. Occasional wiseass.,45,523,1096
snpminermen,False,,2020-04-07T10:08:01.000Z,,1,9,748
Goodmoringmm,False,"Pondicherry, India",2015-06-12T01:09:27.000Z,one who knows what’s going to happen next will always remain silent,573,1,14211
chryyan,False,,2012-02-10T15:04:40.000Z,,222,132,17476
RealJLorraine,False,"Pocatello, ID",2010-10-04T06:32:21.000Z,"I'm a mom of 1 boy and a step-mom to 2 boys, an artist, model, photographer and writer. I follow current events/the news, and I enjoy cooking and gaming.",92,295,1749
CarlsonLaurel,False,,2017-04-19T12:17:43.000Z,,0,0,53
keepitclaseusa,False,,2020-03-28T00:11:49.000Z,"Proud Patriot♥️♥️🇺🇸MAGA
 Nature, Animals, Logical thinking,",4024,4610,6566
HaterRump,False,,2020-11-30T22:12:24.000Z,,2,5,342
PatriciaYgles12,False,,2020-11-23T17:23:23.000Z,,23,87,614
Shanghaianddry,False,🇬🇧 ,2016-11-04T09:17:28.000Z,"PCD, love a debate, a sharing of ideas, not someone screaming into the abyss. The abyss doesn't like that.Keeper of useless information, but handy in a pub quiz",1684,3684,10898
MeganPinkOrchid,False,,2011-01-12T02:09:43.000Z,"Got kicked off Facebook, so decided to start using my Twitter that I’ve had for 9 years and never Tweeted🤣 Trump2020🇺🇸🇺🇸 WWG1WGA #BanRIC",71,257,657
Darth_Demon,False,,2011-08-20T12:36:24.000Z,"Like it or not, I'm me.
My views and opinions are my own and I couldn't care less if you disagree with me.",35,91,4067
johnpavlovitz,True,"Wake Forest, NC",2012-02-16T03:21:25.000Z,"Author of 'A Bigger Table', 'Hope', and 'Low.'
Unapologetically committed to equality, diversity, compassion, love, and justice.",274675,33425,100962
ErrochikkuR,False,,2020-11-09T13:57:19.000Z,Account Suspended,16,109,976
realDonaldTrump,True,"Washington, DC",2009-03-18T13:46:38.000Z,45th President of the United States of America🇺🇸,88586089,51,59307
Quicktake,True,,2011-02-15T20:50:58.000Z,"Live global news and original shows. 
Streaming free, 24/7.",1255678,1416,204663
RachelNotley,True,Edmonton,2009-05-27T07:28:20.000Z,Albertan. Mom to children & dogs. Wife. Friend. Leader of Alberta's NDP. Account run by Rachel Notley and staff. She/Her #ableg,146340,10358,22087
Trumpsta17,False,Communist Victoria ,2020-08-16T07:48:27.000Z,"Previously known as Rupert Pumpkin with 5k followers until being given the boot by this platform.

PANIC EVERYWHERE!!!",1604,1548,5351
DogePatriot2,False,Republic of Texas ,2020-10-27T02:20:27.000Z,"Banned On Everything 🇺🇸-AF-1A,2A, Trader Investor - IFBAP🇺🇸#BTC🍁⛄️Merry Christmas☃️💊 Meme War. - I hunt Trolls - Newest Age DOGE - 33rd degree Frogmason",1637,2746,6245
Preciouslindy,False,Arizona,2009-04-19T17:27:12.000Z,"Happily married. Army Veteran. DAV. Grandmother. God & Country! #POTUS #KAG #SaveOurChildren #TrustThePlan #Conservative
Parler @preciouslindy MAGA Boxer MOM",49625,48084,118922
ElChila45799324,False,"Los Angeles, CA",2020-05-13T22:54:15.000Z,I'm a free thinking individual.,24,197,1755
BusyDrT,False,"Cleveland, Ohio",2009-04-24T19:26:01.000Z,Doctor who speaks out about vaccines.,82048,323,15648
keryn_1,False,"Belfast, Northern Ireland",2013-04-23T19:19:40.000Z,"Land of Dopes & Tories. Tune slave 💃🏼aviator, health worker. Raise my great nephew & pup. ✌🏼GTTO Push back against covidiot elite lobbyists, stooges & loons",2347,4386,43288
TeddlesDisFixie,False,"Glenside, South Australia",2011-04-13T03:08:16.000Z,"I'm tall n skinny, a rider of Bikes, Stay at home Dad, Cacti collector, marathon runner, volunteer, nurse. Wondering why my shoes smell on hot days?",284,353,11738
idiot_salad,False,Communist Occupied Colorado,2016-08-07T04:52:01.000Z,Simple peasant. Ex dissident refugee from USSR. UCLA postgrad. Capitalist pig. Freedom fighter. Pronouns: Yes Professor. #Paragliding #1A #2A #DMT #BTC,2454,2744,47740
CalifDeplorable,False,"Los Angeles, CA",2017-01-11T22:31:39.000Z,Closeted conservative in Hollywood! Advocate for vaccine truth & freedom of health choice! #prolife #MAGA #Trump2020 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,2185,3393,25397
jp_dutch,False,Netherlands,2010-01-17T00:05:14.000Z,"Social-liberal, lover of culture, film, travel & people. #HumanRights, just politics, defence & a #green 🌍 No one is entitled to his own facts!#TeamEmine",1121,1049,135660
priyachandscifi,False,,2010-04-30T03:01:31.000Z,"Hobbyist lumberjack. Data, nature #amwriting #sff. I respect your pronouns",1058,1229,17145
SimonC43174444,False,,2020-08-25T08:13:21.000Z,"Cartoons, occasional politics, cycling, rugby, atheist. 3.5% (it, its itself)",160,296,3306
kevinallin,False,NYS,2010-02-10T23:52:34.000Z,,326,628,15918
Bitcoins_Life,False,𝐵𝒾𝓉𝒸𝑜𝒾𝓃 𝐻𝒶𝓁𝓋𝒾𝓃𝑔 ,2019-07-19T17:36:39.000Z,♂️👊💯#oilfield #ConvertNotBuy #Bitcoin #stackingsats  #StrongHands not #Hodler 𝒥𝓊𝓈𝓉 𝒶 𝒟𝒶𝒹,35,27,1977
aspiesmom,False,Pinterest #CDCwhistleblower,2011-07-24T19:37:58.000Z,Fighting for disabled adult son's health/human rights like a Mom does ;^) I was pregnant downwind of coal-fired paper mill. My son was born w/Asperger's.#VAXXED,7706,7753,316007
ShahzadFaisalMD,False,United Kingdom,2013-05-12T18:55:50.000Z,"Regenerative, Anti-aging, Metabolic, Quantum, Integrative & Functional Medicine, Molecular Biology, #Microbiome #Epigenetics #Biohacking #LCHF #PBMT #LifeWave",343,3480,3793
ljosmyndari1,False,,2020-10-06T18:44:26.000Z,Icelandic Fashion Photographer,56,280,3069
Princess_BamBam,False,Royaume-Uni,2009-12-26T19:29:06.000Z,#IDoNotConsent #Stop5G  #StopNewNormal #NoMasks #Artist #Activist #BamBam #Peace #OneLove #DumpTrump,743,599,6507
JUden99606580,False,,2020-10-29T14:39:27.000Z,,29,94,908
JETSALLDAY24XX,False,,2016-11-19T03:14:16.000Z,"I'm a masshole, Nobody cares work harder, Pretty good job so far. JETSALLDAY24X on PS4 LET'S PLAY! 🎮working on becoming a streamer and overall better person.",149,699,6045
rmbpod,False,,2014-08-05T21:39:00.000Z,,131,201,3529
chseclipse,False,"Charleston, SC, USA",2017-08-02T02:52:40.000Z,"Jesus Freak, Watchman, Prophecy Junkie. Red 💊ed, Trump Loving, Globalism Hating Freedom Fighter. Pro-Life, Alt-Health, Anti-💉, Mom2Boys #MAGA 🇺🇸✝️🇺🇸",250,1031,1523
jimijone,False,"Maga, Nigeria",2010-07-11T01:39:38.000Z,"If you value your freedom, thank a veteran. if you value your life, liberty and the pursuit of happiness, thank the constitution and your President. #MAGA",145,851,584
CCLos_33,False,,2012-10-02T01:34:02.000Z,,325,382,8008
CNNPropaganda,False,"Western Australia, Australia",2018-01-14T02:27:30.000Z,"Dems/RINOs: boastful, abusive, disobedient, ungrateful, unholy, w/o love, unforgiving, slanderous, false accusers. Have nothing to do w/such people. 2Tim3",1333,1356,32155
PrayingMomPS139,False,United States,2020-04-04T19:03:10.000Z,"Patriot/Writer/Researcher 🇺🇸 PRO-LIFE/PRO-2A/PRO-TRUMP/17/SaveTheChildren 🇺🇸 Love Jesus/Family/Truth ☀️ Isaiah 41:10 “Fear not, for I am with you” ~God",1209,1718,10976
VoteGoldJen,False,People’s Republic of Ann Arbor,2016-09-11T14:16:48.000Z,"Politics, typos, random stuff. Started the anti-lockdown movement. #BalanceTheRisk (Opinions are my own). My pronoun is potato.",2464,1023,14789
wisenaive,False,,2009-06-23T04:26:23.000Z,"PATRIOT 🇺🇲 who values FREEDOM and ❤️ LOVES TRUMP ❤️ After 30 years a Dem, my eyes opened to TRUTH! Now enjoying life as aQtard....awake, honed and ready!",1196,1560,69352
sevenbarlounge,False,"WW33+68 Boqueron, Cuba",2009-03-06T06:43:49.000Z,You’re invited into the brig & lounge nestled on Kittery Beach Rd in the historic Boqueron building.,624,165,1960
kimgoinrogue,False,,2020-05-08T02:08:18.000Z,we. are. being. played.,2,116,71
mommaburn4,False,,2016-11-15T14:09:48.000Z,,46,62,573
tweetysoph86,False,,2010-10-24T19:30:44.000Z,"Let us fight to free the world - to do away with national barriers - to do away with greed, with hate and intolerance. -Charlie Chaplin",251,1996,2801
annmarioc,False,,2011-08-17T21:06:08.000Z,,24,173,495
handmadekathy,False,pinging off cell towers,2015-02-26T06:29:16.000Z,Mama to 2 healthy vaxed kids. SPED teacher. Autism specialist. Science blogger. Founder https://t.co/9BaCfz2i40 #believemothers #Iamamother #Ivaccinate #Iknowscience,899,560,25626
QuinntisG,False,Florida ,2020-01-13T03:13:28.000Z,"Numbers don't lie people do follow the data. Computer scientist, game designer, toddler tamer, Christian, libertarian; not in that order #family #faith #freedom",361,254,13723
JPESportsMiner,False,,2019-09-12T21:51:12.000Z,"Dad, husband, Masters swimmer, wannabe weightlifter, amateur chef, engineer, curious person, gamer two decades behind.  Formerly Shillings McWoof.",720,170,15512
BottomleyFiona,False,"England, United Kingdom",2013-06-25T12:13:57.000Z,"More years in the NHS than I care to remember. Sonography & training. Medical Ethics & Law, not working now. No time for conspiracy nuts or patronising gits.",363,580,10674
AustinF53244493,False,,2020-10-12T20:47:08.000Z,humanity isn't.,5,24,683
N_Shirtcliffe,False,Rhénanie-du-Nord-Westphalie,2012-09-06T21:23:13.000Z,Biomaterials Science researcher and lecturer.  British citizen working in Germany,521,345,22647
alchemytoday,False,"Lisbonne, Portugal",2008-02-12T23:44:57.000Z,"single molecule microbiology, surfing, and, decreasingly, American politics",960,765,9849
BadVaccineTakes,False,,2020-12-06T21:20:31.000Z,"The Covid 19 vaccines are on the way! What nonsense is being written on Twitter about them? Submissions welcome, @ or DM  #getvaccinated #vaccineswork",54,10,157
auscandoc,False,,2016-08-16T00:31:11.000Z,"Rural FP anesthetist formerly of Fort St John, BC, Canada. Trained in Aus and UK. Now doing rural locums in Canada.",1084,758,14680
benedictecallan,False,,2009-11-18T20:55:07.000Z,"Clinical Prof, Bioscience junky, Tech&Society, PoliSci & Policy Making, Regulations, Intergovernmental Orgs.",395,1835,10722
carnivalist2,False,,2016-03-07T15:24:21.000Z,"Exeter City FC is not quite my whole life. You can't really eat, drink & breathe it, but it can send you to sleep sometimes.",410,215,42407
davethewoodsman,False,,2009-04-22T10:02:29.000Z,Now running the storyshedblog on youtube. Come in and spend a while listening to a story or two :) https://t.co/JByIJu4juA,578,1041,44965
hewitson10,False,"Swindon, England",2013-03-09T07:29:16.000Z,"No sympathy for the mugs who vote Tory! deprive the poor to serve the rich! I’m just sitting back & listening to tories broken promises to you all, Fools!",3906,2261,14163
Meatlegs1,False,Scotland,2016-06-16T19:24:14.000Z,Itsa meat,32,127,4094
GoodchildEdward,False,"Manchester, England",2017-01-06T00:18:34.000Z,"Writer, trader, photographer, hepcat.",24561,24277,91
batts_o,False,Dagobah PC Cafe,2019-09-28T16:51:29.000Z,yoda,56,543,1083
brcaston,False,,2013-11-09T20:22:01.000Z,"Everybody understands suffering. It's something that we all share with everybody else. It's at once utterly intimate, and utterly shared.",167,394,4260
BrianWo58183314,False,"Richwood,Oh",2020-03-20T08:48:27.000Z,,24,187,54
KevinHamer6,False,Etats-Unis,2018-03-29T21:34:44.000Z,#1A #2A #THC Give me liberty or give me death. Taxation is theft. Free helicopter rides for commies and pedo's. Pronouns: Yee/Yee,2729,3086,4665
KiLBurn1775,False,,2020-11-21T21:37:06.000Z,"United WE stand.
Divided WE fall.
Where WE go ONE, WE go ALL
⭐⭐⭐
X2. NO DM's PLEASE",723,789,704
quarteralien,False,,2009-06-26T22:47:13.000Z,,88,52,1931
